소재지지번주소,위도,경도
충청남도 아산시 배방읍 장재리2024,36.793977,127.107087
충청남도 아산시 배방읍 장재리2026,36.791078,127.107104
충청남도 아산시 배방읍 장재리1959,36.791516,127.091888
충청남도 아산시 배방읍 장재리1351,36.78789784,127.097904
충청남도 아산시 배방읍 장재리1351,36.78790007,127.0979237
충청남도 아산시 배방읍 장재리1343,36.79328013,127.0974291
충청남도 아산시 배방읍 장재리1967,36.793911,127.096917
충청남도 아산시 배방읍 공수리176-35,36.77044771,127.0512105
충청남도 아산시 배방읍 휴대리158-2,36.77044771,127.0512049
충청남도 아산시 배방읍 휴대리132-1,36.779208,127.115304
충청남도 아산시 배방읍 공수리 176-35,36.77047024,127.0511993
충청남도 아산시 배방읍 공수리629,36.772392,127.050974
충청남도 아산시 배방읍 공수리229-15,36.770473,127.052709
충청남도 아산시 배방읍 공수리530-33,36.769396,127.050028
충청남도 아산시 배방읍 공수리229-19,36.770617,127.053495
충청남도 아산시 배방읍 북수리1386,36.77462312,127.0711912
충청남도 아산시 배방읍 북수리 1376,,
충청남도 아산시 배방읍 북수리278-2,36.76915076,127.0753696
충청남도 아산시 배방읍 북수리687-7,36.77301035,127.0708032
충청남도 아산시 배방읍 장재리1440,36.788188,127.091172
충청남도 아산시 배방읍 장재리1351,36.78757045,127.0932066
충청남도 아산시 배방읍 공수리637,36.772627,127.061608
충청남도 아산시 배방읍 장재리1406,36.78630117,127.0972214
충청남도 아산시 배방읍 장재리1352,36.78760106,127.094383
충청남도 아산시 배방읍 장재리1979,36.786333,
충청남도 아산시 배방읍 북수리1471,,127.073967
충청남도 아산시 배방읍 장재리1351,36.78649412,127.1034955
충청남도 아산시 배방읍 장재리1627,36.785258,127.100869
충청남도 아산시 배방읍 장재리1206,,127.092349
충청남도 아산시 선장면 홍곳리361,36.813177,126.882478
충청남도 아산시 선장면 군덕리376-20,36.788485,126.862721
충청남도 아산시 동화리411-3,36.723646,126.973629
충청남도 아산시 송악면 강당리291,36.712102,127.016472
충청남도 아산시 송악면 동화리454-3,36.720834,126.974602
충청남도 아산시 송악면 마곡리251-1,36.703721,127.000674
충청남도 아산시 송악면 외암리595-107,36.741651,127.010143
충청남도 아산시 신창면 남성리 86-6,36.79309228,126.9592615
충청남도 아산시 신창면 남성리183-7,36.789548,126.955711
충청남도 아산시 신창면 읍내리299-6,36.77813106,126.9333032
충청남도 아산시 신창면 남성리201-2,36.79322606,126.9553848
충청남도 아산시 신창면 오목리366,36.808559,126.926459
충청남도 아산시 신창면 읍내리310,36.77984323,126.9333913
충청남도 아산시 염치읍 송곡리112-361,36.800431,127.012138
충청남도 아산시 염치읍 송곡리112-117,,127.014811
충청남도 아산시 염치읍 염성리266-1,36.816059,126.972393
충청남도 아산시 영인면 아산리156-3,36.854089,126.957943
충청남도 아산시 영인면 신화리353-9,36.88526004,126.967581
충청남도 아산시 모종동 113-10,36.78474592,127.000773
충청남도 아산시 온천동 1338,36.786109,
충청남도 아산시 온천동 300-24,36.78290981,127.0047696
충청남도 아산시 온천동 1379,36.78738619,126.9990365
충청남도 아산시 온천동 1442,36.789806,126.998113
충청남도 아산시 온천동 1458,36.789964,126.999952
충청남도 아산시 온천동 1570,36.788311,127.000892
충청남도 아산시 온천동 1859,36.78736811,127.0039324
충청남도 아산시 온천동 169-1,36.778403,126.998315
충청남도 아산시 온천동 136-8,36.77965439,127.0073935
충청남도 아산시 온천동 1910,36.77661303,127.0088102
충청남도 아산시 온천동 1910,36.77812254,127.0077799
충청남도 아산시 온천동 149-27,36.77947436,127.0029238
충청남도 아산시 권곡동 409-11,36.791047,127.010053
충청남도 아산시 모종동 558,36.78545714,127.0126091
충청남도 아산시 모종동 345-4,36.78449228,127.017795
충청남도 아산시 모종동 371-5,36.784997,127.017645
충청남도 아산시 모종동 591-1,36.78052323,127.0151876
충청남도 아산시 권곡동 409-1,36.78050071,127.015167
충청남도 아산시 모종동 575-3,36.78219057,127.0128102
충청남도 아산시 권곡동 524-10,36.789263,127.007349
충청남도 아산시 권곡동 531-3,36.787333,127.014274
충청남도 아산시 권곡동 537-7,36.788098,127.008519
충청남도 아산시 모종동 595-16,36.78055524,127.010944
충청남도 아산시 모종동 568-6,,127.016466
충청남도 아산시 모종동 575-1,36.782581,127.013233
충청남도 아산시 모종동 563-4,36.78396127,127.0127713
충청남도 아산시 실옥동 539,36.789983,
충청남도 아산시 방축동 708,36.784954,126.991042
충청남도 아산시 방축동 151-21,36.78771878,126.9859509
충청남도 아산시 배미동 238-1,36.78746385,126.9713978
충청남도 아산시 용화동 34-37,36.77714944,127.004492
충청남도 아산시 용화동 823,36.76959807,126.9953629
충청남도 아산시 용화동 304-24,36.778296,126.995755
충청남도 아산시 용화동 612,,126.998243
충청남도 아산시 용화동 333-7,,126.991251
충청남도 아산시 용화동 842,36.769658,126.995114
충청남도 아산시 용화동 972,36.777921,127.008808
충청남도 아산시 용화동 878,36.768736,126.995069
충청남도 아산시 용화동 568,36.77633399,127.0023636
충청남도 아산시 용화동 568,36.7763475,127.0023748
충청남도 아산시 용화동 709,36.77295023,126.9954075
충청남도 아산시 읍내동 226-3,36.761337,127.016312
충청남도 아산시 읍내동 151-1,36.76171642,127.0186698
충청남도 아산시 읍내동 230-7,36.761771,127.014869
충청남도 아산시 장존동 305-7,36.74775174,127.0157438
충청남도 아산시 풍기동 230-1,36.77602205,127.015996
충청남도 아산시 장존동 33-7,36.75670156,127.019474
충청남도 아산시 좌부동 243-1,36.75982729,127.0256017
충청남도 아산시 음봉면 원남리 94-5,36.863926,127.035267
충청남도 아산시 음봉면 덕지리 55-1,36.83475486,127.0841499
충청남도 아산시 음봉면 월랑리422-4,36.857091,127.077204
충청남도 아산시 음봉면 월랑리572-6,36.857307,
충청남도 아산시 인주면 밀두리131-2,36.869867,126.885245
충청남도 아산시 인주면 걸매리886,,126.894422
충청남도 아산시 탕정면 동산리204,36.826689,127.089122
충청남도 아산시 탕정면 매곡리553,36.790892,127.081578
충청남도 아산시 탕정면 갈산리228,36.79033578,127.0682591
충청남도 아산시 탕정면 동산리339-3,36.826639,127.078698
충청남도 아산시 도고면 기곡리324-3,36.760128,
충청남도 아산시 도고면 기곡리306-1,36.76111905,126.8869966
충청남도 아산시 둔포면 신남리239-9,36.91883484,127.0007267
충청남도 아산시 배방읍 북수리915,36.77191423,127.0651205
충청남도 아산시 배방읍 장재리1213,36.793034,127.092544
충청남도 아산시 배방읍 장재리1290,36.792663,127.093573
충청남도 아산시 배방읍 장재리1209,36.791306,127.088832
충청남도 아산시 배방읍 장재리1538,36.787066,127.091099
충청남도 아산시 배방읍 장재리1540,36.784192,127.093814
충청남도 아산시 배방읍 장재리1415,36.787411,
충청남도 아산시 배방읍 장재리1627,36.785203,127.100644
충청남도 아산시 배방읍 장재리1841,36.788123,127.111207
충청남도 아산시 배방읍 공수리 70-1,36.774362,127.058262
충청남도 아산시 배방읍 북수리1465,36.77391879,127.0735792
충청남도 아산시 배방읍 휴대리273-2,36.77770948,127.1071971
충청남도 아산시 배방읍 장재리1197,36.794666,127.096504
충청남도 아산시 배방읍 장재리1351,36.78708547,127.0940127
충청남도 아산시 배방읍 장재리1601,36.785813,127.099019
충청남도 아산시 배방읍 장재리1918,36.785095,127.110897
충청남도 아산시 신창면 남성리177-22,36.790264,
충청남도 아산시 신창면 읍내리498-6,36.775722,
충청남도 아산시 신창면 창암리163-3,36.765275,
충청남도 아산시 염치읍 방현리310-1,36.81744907,127.0107314
충청남도 아산시 염치읍 석정리622,36.81261501,127.998278
충청남도 아산시 염치읍 송곡리112-428,36.799434,127.013289
충청남도 아산시 염치읍 송곡리72-14,36.800318,127.019295
충청남도 아산시 염치읍 송곡리112-391,,127.014885
충청남도 아산시 염치읍 송곡리112-373,36.800241,127.013765
충청남도 아산시 영인면 신화리281-15,36.883755,126.972146
충청남도 아산시 영인면 아산리458-3,36.85455304,126.9547213
충청남도 아산시 온천동 40-51,36.784152,127.002106
충청남도 아산시 온천동 23-23,36.78601875,127.0009467
충청남도 아산시 온양1동 1873,36.789553,127.003622
충청남도 아산시 온천동 146-10,36.78001052,127.0034279
충청남도 아산시 온천동 757,36.77780281,127.0022684
충청남도 아산시 온천동 755,36.77837727,127.002282
충청남도 아산시 권곡동 552-1,36.78586311,127.0068451
충청남도 아산시 권곡동 85-3,36.790016,127.019744
충청남도 아산시 권곡동 622,,
충청남도 아산시 모종동 572-2,36.781861,127.015259
충청남도 아산시 모종동 587-55,36.77926595,127.016884
충청남도 아산시 모종동 132-2,,127.027028
충청남도 아산시 권곡동 550-45,36.78474781,127.0093545
충청남도 아산시 모종동 618,36.784806,127.020046
충청남도 아산시 모종동 551-10,36.78614419,127.0130265
충청남도 아산시 모종동 551-17,36.78673219,127.0129034
충청남도 아산시 권곡동 197-3,36.79132782,127.0133243
